cat,group,date,oil,water,liquid,bhp,status,start_lag,coef,is_base
I2,I,24,,0.001267,0.001267,32936048.980521817,1.0,21.0,0.42,False
I3,I,24,,0.001596,0.001596,33852003.35481283,1.0,21.0,0.42,False
P1,P,25,-0.000524383782296,-0.0017938597681458,-0.0023182435504419,20000000.0,1.0,21.0,0.42,False
P2,P,25,-0.0003496966481627,-0.0027556950111285,-0.0031053916592913,20000000.0,1.0,21.0,0.42,False
I1,I,25,,0.002533,0.002533,36448972.69695102,1.0,21.0,0.42,False
I2,I,25,,0.001267,0.001267,32735452.178072315,1.0,21.0,0.42,False
I3,I,25,,0.001596,0.001596,33617945.83460197,1.0,21.0,0.42,False
P1,P,26,-0.0004916248181743,-0.0018346815487476,-0.0023263063669219,20000000.0,1.0,21.0,0.42,False
P2,P,26,-0.0003290229553405,-0.0027724702716038,-0.0031014932269444,20000000.0,1.0,21.0,0.42,False
I1,I,26,,0.002533,0.002533,36212790.83505082,1.0,21.0,0.42,False
I2,I,26,,0.001267,0.001267,32518124.65805992,1.0,21.0,0.42,False
I3,I,26,,0.001596,0.001596,33376361.73592873,1.0,21.0,0.42,False
P1,P,27,-0.0004619214113205,-0.001870134151158,-0.0023320555624785,20000000.0,1.0,21.0,0.42,False
P2,P,27,-0.0003101458355122,-0.002783031295178,-0.0030931771306903,20000000.0,1.0,21.0,0.42,False
I1,I,27,,0.002533,0.002533,35983843.33998481,1.0,21.0,0.42,False
I2,I,27,,0.001267,0.001267,32307679.05315968,1.0,21.0,0.42,False
I3,I,27,,0.001596,0.001596,33146934.42494588,1.0,21.0,0.42,False
P1,P,28,-0.0004353400006082,-0.0019021883230191,-0.0023375283236273,20000000.0,1.0,21.0,0.42,False
P2,P,28,-0.0002930568358503,-0.0027906467527962,-0.0030837035886466,20000000.0,1.0,21.0,0.42,False
I1,I,28,,0.002533,0.002533,35768322.37378179,1.0,21.0,0.42,False
I2,I,28,,0.001267,0.001267,32109839.813133195,1.0,21.0,0.42,False
I3,I,28,,0.001596,0.001596,32933486.17976078,1.0,21.0,0.42,False
P1,P,29,-0.000411550576209,-0.0019314859782426,-0.0023430365544517,20000000.0,1.0,21.0,0.42,False
P2,P,29,-0.0002775576860253,-0.0027965995685668,-0.0030741572545921,20000000.0,1.0,21.0,0.42,False
I1,I,29,,0.002533,0.002533,35567124.538443714,1.0,21.0,0.42,False
I2,I,29,,0.001267,0.001267,31925386.06908157,1.0,21.0,0.42,False
I3,I,29,,0.001596,0.001596,32735763.318906806,1.0,21.0,0.42,False
P1,P,0,-0.0016212793357458,0.0,-0.0016212793357458,20000000.0,1.0,17.0,0.42,False
P2,P,0,-0.0019034995257132,0.0,-0.0019034995257132,20000000.0,1.0,17.0,0.42,False
I1,I,0,,0.002533,0.002533,40189871.29720092,1.0,17.0,0.42,False
I2,I,0,,0.001267,0.001267,36654942.34321034,1.0,17.0,0.42,False
I3,I,0,,,,,0.0,17.0,0.42,False
P1,P,1,-0.001501636314723,0.0,-0.001501636314723,20000000.0,1.0,17.0,0.42,False
P2,P,1,-0.0017470400237067,0.0,-0.0017470400237067,20000000.0,1.0,17.0,0.42,False
I1,I,1,,0.002533,0.002533,40242918.4566048,1.0,17.0,0.42,False
I2,I,1,,0.001267,0.001267,36663866.639836974,1.0,17.0,0.42,False
I3,I,1,,,,,0.0,17.0,0.42,False
P1,P,2,-0.001492829541189,0.0,-0.001492829541189,20000000.0,1.0,17.0,0.42,False
P2,P,2,-0.0017249606375624,0.0,-0.0017249606375624,20000000.0,1.0,17.0,0.42,False
